====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:18:45 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    5
====================================================================

[19:18:46.098] [IBE-001     ] IBE-001: Solicitando pista y puerta...
[19:18:46.104] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-001
[19:18:46.104] [TORRE       ] Recibida petición: LANDING [IBE-001]
[19:18:46.105] [IBE-001     ] IBE-001: Aterrizando en Pista P1...
[19:18:46.208] [IBE-001     ] IBE-001: Aterrizado. Liberando pista y yendo a Puerta G1
[19:18:46.209] [TORRE       ] Recibida petición: LANDED [IBE-001]
[19:18:46.209] [TORRE       ] Pista liberada por IBE-001
[19:18:46.210] [IBE-001     ] IBE-001: En puerta Puerta G1. Subiendo Pasajero PAX-IBE-001
[19:18:46.210] [TORRE       ] Recibida petición: BOARDING [IBE-001]
[19:18:46.241] [IBE-002     ] IBE-002: Solicitando pista y puerta...
[19:18:46.241] [TORRE       ] Recibida petición: LANDING [IBE-002]
[19:18:46.241] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-002
[19:18:46.245] [IBE-002     ] IBE-002: Aterrizando en Pista P1...
[19:18:46.298] [IBE-003     ] IBE-003: Solicitando pista y puerta...
[19:18:46.298] [TORRE       ] Recibida petición: LANDING [IBE-003]
[19:18:46.299] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-003
[19:18:46.300] [IBE-003     ] IBE-003: Aterrizando en Pista P2...
[19:18:46.348] [IBE-002     ] IBE-002: Aterrizado. Liberando pista y yendo a Puerta G2
[19:18:46.348] [TORRE       ] Recibida petición: LANDED [IBE-002]
[19:18:46.400] [IBE-004     ] IBE-004: Solicitando pista y puerta...
[19:18:46.400] [TORRE       ] Recibida petición: LANDING [IBE-004]
[19:18:46.403] [IBE-003     ] IBE-003: Aterrizado. Liberando pista y yendo a Puerta G3
[19:18:46.404] [TORRE       ] Recibida petición: LANDED [IBE-003]
[19:18:46.405] [TORRE       ] Pista liberada por IBE-002
[19:18:46.406] [IBE-002     ] IBE-002: En puerta Puerta G2. Subiendo Pasajero PAX-IBE-002
[19:18:46.406] [TORRE       ] Recibida petición: BOARDING [IBE-002]
[19:18:46.501] [IBE-005     ] IBE-005: Solicitando pista y puerta...
[19:18:46.501] [TORRE       ] Recibida petición: LANDING [IBE-005]
[19:18:46.509] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-004
[19:18:46.510] [IBE-004     ] IBE-004: Aterrizando en Pista P1...
[19:18:46.511] [IBE-001     ] IBE-001: Embarque finalizado. Solicitando salida.
[19:18:46.511] [TORRE       ] Recibida petición: BOARDED [IBE-001]
[19:18:46.512] [TORRE       ] Pista liberada por IBE-003
[19:18:46.512] [IBE-003     ] IBE-003: En puerta Puerta G3. Subiendo Pasajero PAX-IBE-003
[19:18:46.513] [TORRE       ] Recibida petición: BOARDING [IBE-003]
[19:18:46.600] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-005
[19:18:46.602] [IBE-005     ] IBE-005: Aterrizando en Pista P2...
[19:18:46.603] [IBE-006     ] IBE-006: Solicitando pista y puerta...
[19:18:46.603] [TORRE       ] Recibida petición: LANDING [IBE-006]
[19:18:46.615] [IBE-004     ] IBE-004: Aterrizado. Liberando pista y yendo a Puerta G4
[19:18:46.615] [TORRE       ] Recibida petición: LANDED [IBE-004]
