====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:17:48 CET 2026
 Modo:         SEQUENTIAL
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
====================================================================

[19:17:49.680] [IBE-001     ] IBE-001: LANDING_REQUEST
[19:17:49.742] [TORRE       ] Secuencial: Procesando LANDING de IBE-001
[19:17:49.781] [IBE-002     ] IBE-002: LANDING_REQUEST
[19:17:49.834] [TORRE       ] Secuencial: Procesando LANDING de IBE-002
[19:17:49.883] [IBE-003     ] IBE-003: LANDING_REQUEST
[19:17:49.896] [TORRE       ] Secuencial: Procesando LANDED de IBE-001
[19:17:49.947] [TORRE       ] Secuencial: Procesando LANDING de IBE-003
[19:17:49.985] [IBE-004     ] IBE-004: LANDING_REQUEST
[19:17:49.998] [TORRE       ] Secuencial: Procesando BOARDING de IBE-001
[19:17:49.998] [IBE-001     ] IBE-001: Subiendo Pasajero PAX-IBE-001
[19:17:50.048] [TORRE       ] Secuencial: Procesando LANDED de IBE-002
[19:17:50.085] [IBE-005     ] IBE-005: LANDING_REQUEST
[19:17:50.099] [TORRE       ] Secuencial: Procesando LANDING de IBE-004
[19:17:50.150] [TORRE       ] Secuencial: Procesando LANDED de IBE-003
[19:17:50.187] [IBE-006     ] IBE-006: LANDING_REQUEST
[19:17:50.200] [TORRE       ] Secuencial: Procesando BOARDING de IBE-002
[19:17:50.200] [IBE-002     ] IBE-002: Subiendo Pasajero PAX-IBE-002
[19:17:50.251] [TORRE       ] Secuencial: Procesando LANDING de IBE-005
[19:17:50.304] [TORRE       ] Secuencial: Procesando BOARDING de IBE-003
[19:17:50.305] [IBE-003     ] IBE-003: Subiendo Pasajero PAX-IBE-003
[19:17:50.332] [IBE-007     ] IBE-007: LANDING_REQUEST
[19:17:50.356] [TORRE       ] Secuencial: Procesando LANDING de IBE-006
[19:17:50.408] [TORRE       ] Secuencial: Procesando LANDED de IBE-004
[19:17:50.445] [IBE-008     ] IBE-008: LANDING_REQUEST
[19:17:50.458] [TORRE       ] Secuencial: Procesando BOARDED de IBE-001
[19:17:50.494] [IBE-009     ] IBE-009: LANDING_REQUEST
[19:17:50.510] [TORRE       ] Secuencial: Procesando LANDING de IBE-007
[19:17:50.562] [TORRE       ] Secuencial: Procesando LANDED de IBE-005
[19:17:50.592] [IBE-010     ] IBE-010: LANDING_REQUEST
[19:17:50.613] [TORRE       ] Secuencial: Procesando BOARDING de IBE-004
[19:17:50.614] [IBE-004     ] IBE-004: Subiendo Pasajero PAX-IBE-004
